epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9875,0.86946,2.45699,1.15771,0.00333,1,0.6057,0.47601,1.13361,3.08097,1.48668,0.0002,0.0002,0.0002
2,39.1813,0.681,1.23009,1.04086,1,0.27703,0.98717,0.76258,0.94732,2.71252,1.2382,0.000411684,0.000411684,0.000411684
3,56.7689,0.65038,1.07601,0.98873,1,0.8425,0.99318,0.70567,0.95705,2.60623,1.32637,0.000614656,0.000614656,0.000614656
4,74.664,0.68247,1.12703,1.06156,0.99467,1,0.995,0.84318,0.5826,1.97661,0.99847,0.000808916,0.000808916,0.000808916
5,92.3156,0.67839,1.05967,1.06745,0.99154,1,0.995,0.84476,0.72732,1.59515,1.08012,0.000994464,0.000994464,0.000994464
6,110.525,0.7034,1.02898,1.06566,0.99801,1,0.995,0.84237,0.65753,1.47136,1.07537,0.0011713,0.0011713,0.0011713
7,128.656,0.70825,1.05409,1.02893,0.99484,1,0.995,0.70393,0.74797,1.75499,1.14844,0.00133942,0.00133942,0.00133942
8,146.368,0.71725,0.93464,1.0495,0.99469,1,0.995,0.83751,0.69085,1.45087,1.04342,0.00149884,0.00149884,0.00149884
9,165.838,0.67364,0.91961,1.02474,0.98949,1,0.995,0.80851,0.81213,1.4496,1.19875,0.00164954,0.00164954,0.00164954
10,185.999,0.71176,0.9569,1.05218,0.99369,1,0.995,0.81987,0.67835,1.26004,1.11966,0.0016436,0.0016436,0.0016436
11,203.097,0.69093,0.9114,1.01383,0.99512,1,0.995,0.80098,0.71734,1.26016,1.09745,0.001604,0.001604,0.001604
12,223.412,0.67312,0.89777,1.00175,0.99219,1,0.995,0.80194,0.69531,1.2767,1.08759,0.0015644,0.0015644,0.0015644
13,242.442,0.6444,0.80774,0.98184,0.99146,1,0.995,0.8391,0.64388,1.20468,1.0187,0.0015248,0.0015248,0.0015248
14,262.185,0.71302,0.85388,1.08012,0.99662,1,0.995,0.87041,0.54163,1.00841,0.93956,0.0014852,0.0014852,0.0014852
15,279.96,0.71715,0.90641,1.02534,0.99649,1,0.995,0.87932,0.5432,1.02359,0.95233,0.0014456,0.0014456,0.0014456
16,299.183,0.65804,0.84038,1.00319,0.95147,1,0.995,0.88224,0.52504,1.02415,0.95153,0.001406,0.001406,0.001406
17,317.273,0.60956,0.77261,1.01056,0.99251,1,0.995,0.89045,0.49904,0.83244,0.91267,0.0013664,0.0013664,0.0013664
18,335.84,0.6579,0.73024,1.00292,0.9946,1,0.995,0.88187,0.48301,0.79505,0.92685,0.0013268,0.0013268,0.0013268
19,353.751,0.65386,0.74715,1.01292,0.99735,1,0.995,0.87183,0.44366,0.77402,0.91663,0.0012872,0.0012872,0.0012872
20,372.486,0.65414,0.70458,1.00381,0.99747,1,0.995,0.87782,0.50256,0.78428,0.90952,0.0012476,0.0012476,0.0012476
21,392.242,0.58369,0.66602,0.93706,0.99756,1,0.995,0.87722,0.47234,0.7388,0.91706,0.001208,0.001208,0.001208
22,411.965,0.5774,0.70718,0.97318,0.99752,1,0.995,0.88426,0.48982,0.7279,0.93241,0.0011684,0.0011684,0.0011684
23,432.831,0.58984,0.65173,0.98446,0.99721,1,0.995,0.88968,0.50779,0.73705,0.92801,0.0011288,0.0011288,0.0011288
24,453.685,0.5685,0.63812,0.95282,0.99548,1,0.995,0.89508,0.48387,0.7439,0.92287,0.0010892,0.0010892,0.0010892
25,471.776,0.59166,0.61536,0.94018,0.99679,1,0.995,0.88739,0.46827,0.70695,0.91852,0.0010496,0.0010496,0.0010496
26,489.591,0.63325,0.67208,1.00364,0.99744,1,0.995,0.89274,0.46349,0.66454,0.92173,0.00101,0.00101,0.00101
27,507.278,0.58712,0.63287,0.95394,0.99741,1,0.995,0.90485,0.42393,0.63696,0.90309,0.0009704,0.0009704,0.0009704
28,524.922,0.52899,0.57865,0.92294,0.99735,1,0.995,0.87836,0.47415,0.62441,0.91909,0.0009308,0.0009308,0.0009308
29,542.673,0.59641,0.61787,0.97177,0.9974,1,0.995,0.89097,0.49769,0.61362,0.93787,0.0008912,0.0008912,0.0008912
30,560.28,0.57077,0.61101,0.97477,0.99727,1,0.995,0.87597,0.50787,0.61039,0.92712,0.0008516,0.0008516,0.0008516
31,577.892,0.53004,0.56848,0.93844,0.99752,1,0.995,0.88766,0.48297,0.59667,0.89754,0.000812,0.000812,0.000812
32,595.682,0.52145,0.57327,0.9314,0.99746,1,0.995,0.8902,0.4559,0.5746,0.8862,0.0007724,0.0007724,0.0007724
33,677.618,0.4821,0.52945,0.919,0.9975,1,0.995,0.93068,0.42536,0.56386,0.8787,0.0007328,0.0007328,0.0007328
34,697.462,0.55788,0.56374,0.96554,0.99738,1,0.995,0.89982,0.42803,0.55834,0.88836,0.0006932,0.0006932,0.0006932
35,716.393,0.50735,0.52896,0.91762,0.99748,1,0.995,0.91992,0.39045,0.54914,0.87579,0.0006536,0.0006536,0.0006536
36,736.909,0.5041,0.52738,0.91627,0.99745,1,0.995,0.92142,0.41464,0.56412,0.87789,0.000614,0.000614,0.000614
37,754.634,0.53543,0.5073,0.92466,0.99748,1,0.995,0.91578,0.43964,0.57801,0.90499,0.0005744,0.0005744,0.0005744
38,772.285,0.4796,0.50585,0.91886,0.99744,1,0.995,0.91064,0.42412,0.57544,0.88699,0.0005348,0.0005348,0.0005348
39,789.793,0.46272,0.50276,0.93544,0.9974,1,0.995,0.90603,0.42515,0.51936,0.88375,0.0004952,0.0004952,0.0004952
40,808.733,0.46474,0.50376,0.92025,0.99734,1,0.995,0.9115,0.42492,0.50918,0.8857,0.0004556,0.0004556,0.0004556
41,828.183,0.39895,0.60551,0.86835,0.99736,1,0.995,0.92179,0.37734,0.5067,0.87665,0.000416,0.000416,0.000416
42,846.6,0.41391,0.60217,0.8621,0.99732,1,0.995,0.90878,0.38374,0.55061,0.87929,0.0003764,0.0003764,0.0003764
43,864.965,0.37367,0.56401,0.82898,0.99728,1,0.995,0.90221,0.38453,0.58156,0.88673,0.0003368,0.0003368,0.0003368
44,883.957,0.42097,0.58899,0.88383,0.99721,1,0.995,0.93778,0.36544,0.59877,0.86371,0.0002972,0.0002972,0.0002972
45,901.767,0.37772,0.58546,0.84884,0.99732,1,0.995,0.94819,0.35697,0.57108,0.85747,0.0002576,0.0002576,0.0002576
46,922.422,0.37958,0.5501,0.85161,0.99741,1,0.995,0.9343,0.35726,0.54094,0.85674,0.000218,0.000218,0.000218
47,941.28,0.3754,0.55777,0.82028,0.99755,1,0.995,0.92486,0.3763,0.5059,0.85864,0.0001784,0.0001784,0.0001784
48,958.522,0.36788,0.53465,0.83956,0.99752,1,0.995,0.93373,0.38206,0.49623,0.85817,0.0001388,0.0001388,0.0001388
49,976.615,0.36723,0.52282,0.8534,0.99758,1,0.995,0.93444,0.38033,0.48207,0.85492,9.92e-05,9.92e-05,9.92e-05
50,994.185,0.38027,0.50562,0.8596,0.99755,1,0.995,0.94216,0.37898,0.48617,0.85351,5.96e-05,5.96e-05,5.96e-05
